2013-08-27 16:32:23,260  INFO NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:deleteListPhisicalを実行しました。実行時に指定されたパラメータ：PjtmPjStfDpUntpriceEntity[prjCd=PJ12000071,empCd=<null>,empId=<null>,expSellTmprice=<null>,maxSize=1000,waitSeconds=300,orderByFields=<null>,onlineUpdateLock=true,logical=true,includeNull=true,skip=true,offset=0,tail=1001,businessDate=<null>,delFlg=<null>,regUsrId=9999999999,regPgmId=jpjprg04000,regTs=2013-08-27 16:32:23.112,updUsrId=9999999999,updPgmId=jpjprg04000,updTs=2013-08-27 16:32:23.112,verNo=<null>] | jp.co.ctc_g.pjnavi.fw.logger.DaoParamLoggingInterceptor (DaoParamLoggingInterceptor.java@36)
2013-08-27 16:32:23,261 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtmPjStfDpUntpriceEntityJobDaoImpl.selectListForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,262 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==>  Preparing: /* jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtmPjStfDpUntpriceEntityJobDaoImpl.selectListForWait */ select PRJ_CD from PJTM_PJ_STF_DP_UNTPRICE WHERE PRJ_CD = ? order by PRJ_CD , EMP_CD for update wait 300  | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtmPjStfDpUntpriceEntityJobDaoImpl.selectListForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,262 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==> Parameters: PJ12000071(String) | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtmPjStfDpUntpriceEntityJobDaoImpl.selectListForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,265 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtmPjStfDpUntpriceEntityJobDaoImpl.deleteListPhisical (Slf4jImpl.java@47)
2013-08-27 16:32:23,266 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==>  Preparing: /* jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtmPjStfDpUntpriceEntityJobDaoImpl.deleteListPhisical */ delete from PJTM_PJ_STF_DP_UNTPRICE WHERE PRJ_CD = ?  | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtmPjStfDpUntpriceEntityJobDaoImpl.deleteListPhisical (Slf4jImpl.java@47)
2013-08-27 16:32:23,267 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==> Parameters: PJ12000071(String) | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtmPjStfDpUntpriceEntityJobDaoImpl.deleteListPhisical (Slf4jImpl.java@47)
2013-08-27 16:32:23,272  INFO NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:deleteListPhisicalを実行しました。実行時に指定されたパラメータ：PjtrPjSuppMnhourPriceEntity[prjCd=PJ12000071,shipMngNo=<null>,bac=<null>,shipPrice=<null>,maxSize=1000,waitSeconds=300,orderByFields=<null>,onlineUpdateLock=true,logical=true,includeNull=true,skip=true,offset=0,tail=1001,businessDate=<null>,delFlg=<null>,regUsrId=9999999999,regPgmId=jpjprg04000,regTs=2013-08-27 16:32:23.112,updUsrId=9999999999,updPgmId=jpjprg04000,updTs=2013-08-27 16:32:23.112,verNo=<null>] | jp.co.ctc_g.pjnavi.fw.logger.DaoParamLoggingInterceptor (DaoParamLoggingInterceptor.java@36)
2013-08-27 16:32:23,274 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjSuppMnhourPriceEntityJobDaoImpl.selectListForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,274 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==>  Preparing: /* jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjSuppMnhourPriceEntityJobDaoImpl.selectListForWait */ select PRJ_CD from PJTR_PJ_SUPP_MNHOUR_PRICE WHERE PRJ_CD = ? order by PRJ_CD , SHIP_MNG_NO for update wait 300  | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjSuppMnhourPriceEntityJobDaoImpl.selectListForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,275 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==> Parameters: PJ12000071(String) | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjSuppMnhourPriceEntityJobDaoImpl.selectListForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,278 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjSuppMnhourPriceEntityJobDaoImpl.deleteListPhisical (Slf4jImpl.java@47)
2013-08-27 16:32:23,279 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==>  Preparing: /* jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjSuppMnhourPriceEntityJobDaoImpl.deleteListPhisical */ delete from PJTR_PJ_SUPP_MNHOUR_PRICE WHERE PRJ_CD = ?  | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjSuppMnhourPriceEntityJobDaoImpl.deleteListPhisical (Slf4jImpl.java@47)
2013-08-27 16:32:23,279 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==> Parameters: PJ12000071(String) | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjSuppMnhourPriceEntityJobDaoImpl.deleteListPhisical (Slf4jImpl.java@47)
2013-08-27 16:32:23,281 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.listByPrjResrcInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,283 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==>  Preparing: /* jp.co.ctc_g.pjnavi.batch.pj.npjbas040.Jpjprg04000JobDaoImpl.listByPrjResrcInfo */ select distinct PRJ_RESRC.PRJ_CD, PRJ_RESRC.PRJ_RESRC_EMP_CD EMP_CD, PRJ_RESRC.PRJ_RESRC_TBA_FLG , PRJ_RESRC.PRJ_RESRC_TBA_PST_ID , EMP.EMP_ID, EMP.EMP_TYP_SEG, EMP.PSNL_SYS_STF_SEG, PRJ.PRJ_DEV_DEPT_CD, ORGAN.HR_ORGAN_ID prjDevDeptCd from PJTR_PJ_PRJ_RESRC PRJ_RESRC, PJTM_PJ_EMP EMP, PJTR_PJ_PRJ PRJ, PJTM_PJ_ORGAN ORGAN where PRJ_RESRC.PRJ_RESRC_EMP_CD = EMP.EMP_CD(+) and PRJ_RESRC.PRJ_CD = PRJ.PRJ_CD and PRJ.PRJ_DEV_DEPT_CD = ORGAN.DEPT_CD and PRJ_RESRC.PRJ_CD = ? and PRJ_RESRC.DEL_FLG = '0' and ? between EMP.VLD_STR_DT(+) and EMP.VLD_END_DT(+) and EMP.DEL_FLG(+) = '0' and PRJ.DEL_FLG = '0' and ? between ORGAN.VLD_STR_DT and ORGAN.VLD_END_DT and ORGAN.DEL_FLG = '0'  | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.listByPrjResrcInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,283 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==> Parameters: PJ12000071(String), 2013-04-05 00:00:00.0(Timestamp), 2013-04-05 00:00:00.0(Timestamp) | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.listByPrjResrcInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,308  INFO NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:createPjStfUntpriceを実行しました。実行時に指定されたパラメータ：Jpjprg04000PrjResrcInfo[prjCd=PJ12000071,prjResrcTbaFlg=0,prjResrcTbaPstId=<null>,empTypSeg=1120,psnlSysStfSeg=40,prjDevDeptCd=11513,prjDevDeptId=<null>,businessDate=Fri Apr 05 00:00:00 JST 2013,prjCd=<null>,empCd=2008010,empId=6675,expSellTmprice=<null>,maxSize=1000,waitSeconds=300,orderByFields=<null>,onlineUpdateLock=true,logical=true,includeNull=true,skip=true,offset=0,tail=1001,businessDate=<null>,delFlg=<null>,regUsrId=9999999999,regPgmId=jpjprg04000,regTs=2013-08-27 16:32:23.112,updUsrId=9999999999,updPgmId=jpjprg04000,updTs=2013-08-27 16:32:23.112,verNo=<null>] | jp.co.ctc_g.pjnavi.fw.logger.DaoParamLoggingInterceptor (DaoParamLoggingInterceptor.java@36)
2013-08-27 16:32:23,309 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.createPjStfUntprice (Slf4jImpl.java@47)
